"PID","WEIGHT","cond","order_responses","val_1","val_2","val_3","val_4","val_5","top_value_num","top_value_char","response_cond1","response_cond2","response_cond3","order_dvs_first","order_dvs_second","order_dvs_third","order_dvs_fourth","order_dvs_fifth","antiest_1","antiest_2","antiest_3","antiest_4","ampride","trustgov","demsatis","radchange","vote_bin","vote_who","vote_whoelse","PartyID7","PartyID5","IDEO","RELIG","RELIG_OE","ATTEND","STARTDT","ENDDT","duration","SURV_MODE","SURV_LANG","Device","GENDER","AGE","AGE4","AGE7","RACETHNICITY","EDUC5","MARITAL","EMPLOY","INCOME","INCOME4","INCOME9","STATE","REGION4","REGION9","METRO","INTERNET","HOUSING","HOME_TYPE","PHONESERVICE","HHSIZE","HH01","HH25","HH612","HH1317","HH18OV","response","antiest_4R","distrust","antiest","discontent","exclude"
2083,0.26895519,"brkn",1,"Integrity","Resilience","Fairness","Trust","Empathy",1,"Integrity",NA,"Saying one thing and doing something else. Make good on promises. Transparency and putting the American people first!",NA,"demsatis","trustgov","antiest","ampride","radchange",7,7,7,1,2,NA,1,7,"no vote",NA,NA,4,3,3,11,NA,2,"11/20/2024 10:32","11/20/2024 10:38",6,2,1,"Smartphone","male",44,2,3,"white/non-hisp","some coll",5,1,"$40,000 to $49,999",2,5,"CO",4,8,1,1,2,"2",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"Saying one thing and doing something else. Make good on promises. Transparency and putting the American people first!",7,NA,7,7,0
2085,1.04913887,"brkn",1,"People","Land","Freedom","Weapons","Military",3,"Freedom",NA,"America lets anyone with money get away with the crimes they commit compared to people without money",NA,"radchange","antiest","demsatis","trustgov","ampride",5,5,5,5,3,6,1,6,"no vote",NA,NA,4,3,4,9,NA,1,"11/28/2024 1:58","11/28/2024 2:00",3,2,1,"Smartphone","female",33,2,2,"white/non-hisp","HS",5,6,"$15,000 to $19,999",1,2,"NY",1,2,0,1,2,"4",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"America lets anyone with money get away with the crimes they commit compared to people without money",3,2,4.5,4.16666666666667,0
2088,0.67367532,"kept",0,"fairness","economic","stability","race","prices",2,"economic","the economic status is not what we expected with so much going on how are we as people that dont understand why the value of so many items rised as much as 30 percent more that it suppose to be and how do we prepair for it when it happens after",NA,NA,"demsatis","trustgov","radchange","ampride","antiest",7,7,7,2,3,1,1,7,"no vote",NA,NA,1,1,1,2,NA,4,"11/22/2024 11:53","11/30/2024 12:35",12,2,1,"Desktop","female",18,1,1,"hisp","less HS",5,4,"$25,000 to $29,999",1,3,"NY",1,2,1,1,2,"3",4,4,"#NULL!","#NULL!","1","1",2,"the economic status is not what we expected with so much going on how are we as people that dont understand why the value of so many items rised as much as 30 percent more that it suppose to be and how do we prepair for it when it happens after",6,7,6.75,6.91666666666667,0
2091,0.68479952,"kept",1,"life","liberty","pursuit of happiness","responsibility","equality",1,"life","Inherent in the idea of life is that it must be a life worth living and valued by others. I think that the U.S. largely lives up to that value, but I think we treat some lives cheaply.",NA,NA,"radchange","antiest","ampride","trustgov","demsatis",5,6,3,3,3,2,2,2,"vote","harris",NA,3,2,3,3,NA,8,"11/19/2024 16:02","11/19/2024 16:26",25,2,1,"Desktop","male",43,2,3,"white/non-hisp","masters",1,1,"$200,000 or more",4,9,"AZ",4,8,1,1,1,"1",4,5,"#NULL!","#NULL!","1","2",2,"Inherent in the idea of life is that it must be a life worth living and valued by others. I think that the U.S. largely lives up to that value, but I think we treat some lives cheaply.",5,6,4.75,4.25,0
2108,0.54387416,"brkn",1,"Freedom","Opportunities","Equality","Progress","Hope",1,"Freedom",NA,"98",NA,"antiest","demsatis","trustgov","ampride","radchange",5,5,5,3,3,3,4,5,"vote","harris",NA,2,1,5,2,NA,4,"11/21/2024 12:09","11/21/2024 12:16",7,2,1,"Smartphone","female",32,2,2,"hisp","HS",1,1,"$40,000 to $49,999",2,5,"CA",4,9,1,0,2,"4",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"98",5,5,5,5,1
2114,0.78609614,"ctrl",1,"Equality","Self government","Individualism","Informality","Freedom",5,"Freedom",NA,NA,"power or right to act, speak, or think as one wants without hindrance or restraint. Freedom of choice.","radchange","ampride","antiest","demsatis","trustgov",4,4,5,5,4,4,3,5,"vote","trump",NA,7,5,4,1,NA,3,"11/19/2024 18:26","11/19/2024 21:02",8,2,1,"Smartphone","male",20,1,1,"white/non-hisp","HS",5,7,"$60,000 to $74,999",3,6,"FL",3,5,0,1,1,"1",4,5,"1","#NULL!","#NULL!","#NULL!",4,"power or right to act, speak, or think as one wants without hindrance or restraint. Freedom of choice.",3,4,4,4.33333333333333,0
2116,1.36421922,"ctrl",0,"Freedom","Opportunity","Stability","Prosperity","Justice",1,"Freedom",NA,NA,"The ability to have individual power to determine one’s destiny.  Freedom to worship where and who one wants, freedom to live in safety and respect of other individuals.  Freedom from oppressive regimes and government intervention.","ampride","demsatis","trustgov","radchange","antiest",4,5,4,4,4,4,5,4,"vote","trump",NA,6,5,4,12,NA,7,"11/23/2024 4:41","11/23/2024 17:09",3,2,1,"Smartphone","male",37,2,3,"asian/non-hisp","some coll",1,1,"$100,000 to $124,999",4,8,"TX",3,7,1,1,1,"1",4,4,"1","#NULL!","#NULL!","#NULL!",3,"The ability to have individual power to determine one’s destiny.  Freedom to worship where and who one wants, freedom to live in safety and respect of other individuals.  Freedom from oppressive regimes and government intervention.",4,4,4.25,4.08333333333333,0
2121,0.82035378,"kept",1,"Change","Equality","Self-help","Individualism","Competition",1,"Change","The current president of the United States has promised to change women's rights after Roe v Wade was overturned. They have been working towards making this change for a while now.",NA,NA,"demsatis","antiest","ampride","radchange","trustgov",4,4,4,4,3,4,4,5,"no vote",NA,NA,7,5,3,2,NA,1,"11/24/2024 15:25","11/24/2024 15:30",5,2,1,"Desktop","female",23,1,1,"white/non-hisp","HS",1,1,"$35,000 to $39,999",2,4,"OH",2,3,1,1,2,"3",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The current president of the United States has promised to change women's rights after Roe v Wade was overturned. They have been working towards making this change for a while now.",4,4,4,4.33333333333333,0
2126,1.28357953,"ctrl",1,"Integrity","Respect","Responsible","Sportsmanship","Servant leadership",2,"Respect",NA,NA,"To admire someone deeply for their abilities, qualities or their achievements. Showing regard for their abilities and worth.","ampride","trustgov","demsatis","antiest","radchange",4,5,5,5,4,4,4,5,"vote","harris",NA,4,3,4,1,NA,1,"11/19/2024 23:00","11/29/2024 19:29",10,2,1,"Desktop","male",52,3,4,"black/non-hisp","HS",4,1,"$85,000 to $99,999",3,7,"NJ",1,2,1,1,2,"3",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"To admire someone deeply for their abilities, qualities or their achievements. Showing regard for their abilities and worth.",3,4,4.25,4.41666666666667,0
2138,1.16496257,"brkn",0,"Individualism","Liberalism","Entrepreneurialism","Colonialism","World domination",1,"Individualism",NA,"I misunderstood the first question. The US is doing a great job upholding the value of individualism. It has no public institutions.",NA,"antiest","radchange","ampride","trustgov","demsatis",7,7,7,3,1,2,1,7,"vote","other","Claudia De La Cruz",2,1,2,9,NA,1,"11/19/2024 17:42","11/19/2024 17:47",4,2,1,"Smartphone","male",25,1,2,"white/non-hisp","bachelors",5,1,"$125,000 to $149,999",4,8,"IL",2,3,1,1,2,"3",4,2,"0","0","0","0",2,"I misunderstood the first question. The US is doing a great job upholding the value of individualism. It has no public institutions.",5,6,6.5,6.5,0
2167,0.52246995,"ctrl",0,"Inclusion","Finances","Safety","Equality","Equity",5,"Equity",NA,NA,"Everyone held to the same standard and expectations and paid comparably based on talent, not gender, race, ethnicity, etc.","demsatis","ampride","antiest","radchange","trustgov",7,6,4,2,2,2,3,6,"vote","harris",NA,1,1,1,11,NA,2,"11/20/2024 14:12","11/20/2024 14:17",5,2,1,"Smartphone","female",30,2,2,"white/non-hisp","bachelors",5,1,"$35,000 to $39,999",2,4,"FL",3,5,1,1,2,"1",4,3,"#NULL!","#NULL!","#NULL!","#NULL!",3,"Everyone held to the same standard and expectations and paid comparably based on talent, not gender, race, ethnicity, etc.",6,6,5.75,5.91666666666667,0
2168,0.84597822,"kept",0,"Freedom from oppression","Lifestyle choice","Personal responsibility","Opportunity to succeed","Open society",1,"Freedom from oppression","I am free to travel, communicate, work and make personal choices with minimal interference from government officials. I do not face imprisonment or death because of my identity. I am not required to make oaths or supportive statements regarding any political party, race, ethnicity, religion, or organization. I am not oppressed.",NA,NA,"demsatis","ampride","trustgov","antiest","radchange",5,7,6,5,2,4,2,3,"vote","harris",NA,4,3,3,11,NA,2,"11/19/2024 19:18","11/20/2024 16:47",7,2,1,"Desktop","female",48,3,4,"white/non-hisp","bachelors",1,7,"$150,000 to $174,999",4,9,"VA",3,5,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"I am free to travel, communicate, work and make personal choices with minimal interference from government officials. I do not face imprisonment or death because of my identity. I am not required to make oaths or supportive statements regarding any political party, race, ethnicity, religion, or organization. I am not oppressed.",3,4,5.25,4.08333333333333,0
2178,0.18849728,"ctrl",0,"Freedom of speech","Freedom of religion","Right to bear arms","Belief in God","To work hard for a better life.",2,"Freedom of religion",NA,NA,"I believe freedom of religion is to have the right to choose any religion you want. And to not be punished for choosing to believe in God, and to worship safely.","ampride","demsatis","radchange","trustgov","antiest",2,2,2,3,5,4,4,4,"vote","trump",NA,7,5,5,2,NA,9,"11/19/2024 17:20","11/19/2024 17:23",4,2,1,"Smartphone","female",31,2,2,"white/non-hisp","bachelors",1,7,"$60,000 to $74,999",3,6,"ND",2,4,0,1,1,"1",4,5,"#NULL!","2","1","#NULL!",2,"I believe freedom of religion is to have the right to choose any religion you want. And to not be punished for choosing to believe in God, and to worship safely.",5,4,2.75,3.58333333333333,0
2179,0.03325742,"brkn",1,"freedom of speech","individualism","diversity","consumerism","wealth accumulation",2,"individualism",NA,"well, we are living up to it, but at a cost to many other aspects of life. we prize individualism above all else.",NA,"trustgov","antiest","demsatis","ampride","radchange",7,7,2,1,1,1,1,7,"vote","other","I abstained from the presidential vote.",4,3,1,9,NA,1,"11/27/2024 10:21","11/27/2024 10:34",13,2,1,"Smartphone","male",32,2,2,"hisp","bachelors",5,1,"$200,000 or more",4,9,"CA",4,9,1,1,2,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"well, we are living up to it, but at a cost to many other aspects of life. we prize individualism above all else.",7,7,5.75,6.58333333333333,0
2190,1.11961075,"kept",1,"Freedom","Equality","Justice","Democratic Government","Effective governance",1,"Freedom","The freedom that allows the pursuit of happiness for each individual and protection and justice from the government.",NA,NA,"antiest","radchange","ampride","demsatis","trustgov",6,6,6,2,4,3,6,6,"vote","harris",NA,5,4,3,2,NA,4,"11/20/2024 9:10","11/20/2024 9:15",5,2,1,"Desktop","male",42,2,3,"white/non-hisp","bachelors",5,2,"$20,000 to $24,999",1,3,"PA",1,2,1,1,1,"1",3,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The freedom that allows the pursuit of happiness for each individual and protection and justice from the government.",6,5,6,5.66666666666667,0
2191,0.8900601,"kept",0,"Justice","democracy","separation of church & State","Fairness for all people","The Constitution",5,"The Constitution","I am in fear that influences from our own country as well as foreign countries are trying to undermine the constitution and change what the spirit of the constitution represents.  I pray that our country has enough government officials care more about upholding the law and not influenced just on party lines.",NA,NA,"ampride","demsatis","radchange","trustgov","antiest",5,3,3,5,5,4,2,5,"vote","harris",NA,1,1,2,2,NA,8,"11/23/2024 14:58","11/23/2024 15:12",14,2,1,"Desktop","female",81,4,7,"white/non-hisp","some coll",2,5,"$40,000 to $49,999",2,5,"MA",1,1,1,1,1,"1",3,2,"#NULL!","#NULL!","#NULL!","#NULL!",1,"I am in fear that influences from our own country as well as foreign countries are trying to undermine the constitution and change what the spirit of the constitution represents.  I pray that our country has enough government officials care more about upholding the law and not influenced just on party lines.",3,4,3.5,4.16666666666667,0
2198,0.11570642,"brkn",1,"respect for each other","opportunity for all","Safety from harm","Freedom of expression","Standing with our allies",2,"opportunity for all",NA,"We still have a hierarchy that some are more important than others supported by manipulation of our belief systoms",NA,"ampride","radchange","antiest","trustgov","demsatis",6,5,6,5,4,4,7,6,"vote","harris",NA,1,1,1,13,NA,1,"11/23/2024 12:04","11/23/2024 12:18",15,2,1,"Desktop","female",68,4,6,"white/non-hisp","some coll",5,1,"$35,000 to $39,999",2,4,"CA",4,9,1,1,2,"3",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"We still have a hierarchy that some are more important than others supported by manipulation of our belief systoms",3,4,5,5,0
2203,0.54179282,"brkn",1,"Integrity","Honesty","Thrift","Morality","Security",1,"Integrity",NA,"Those in charge make themselves rich off others work.  They lie and seek power for themselves.  Both democrats and republicans.",NA,"antiest","trustgov","ampride","radchange","demsatis",7,7,7,2,4,2,2,7,"vote","trump",NA,5,4,5,3,NA,8,"11/19/2024 17:38","11/19/2024 17:42",4,2,1,"Smartphone","male",47,3,4,"white/non-hisp","masters",1,1,"$60,000 to $74,999",3,6,"ID",4,8,0,1,1,"1",3,4,"#NULL!","#NULL!","#NULL!","2",2,"Those in charge make themselves rich off others work.  They lie and seek power for themselves.  Both democrats and republicans.",6,6,6.75,6.58333333333333,0
2216,0.86667592,"ctrl",0,"Equality","The pursuit happiness","Freedom of religion","Freedom from religion","Upward mobility",1,"Equality",NA,NA,"Everyone is treated with the same level of respect, regardless of what they look like, who they love, where they come from, or who they worship.","trustgov","ampride","demsatis","radchange","antiest",7,5,2,3,2,4,3,3,"vote","harris",NA,1,1,1,9,NA,1,"11/22/2024 8:09","11/22/2024 8:14",6,2,1,"Smartphone","female",34,2,2,"white/non-hisp","bachelors",5,1,"$60,000 to $74,999",3,6,"TN",3,6,1,1,1,"2",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"Everyone is treated with the same level of respect, regardless of what they look like, who they love, where they come from, or who they worship.",5,4,4.75,3.91666666666667,0
2217,0.81856719,"brkn",1,"Freedom","Equality","Individualism","Democracy","Justice",2,"Equality",NA,"People no longer care about what is right and they just want control. We aren’t including God in our lives",NA,"antiest","demsatis","ampride","trustgov","radchange",7,7,7,2,2,2,2,7,"no vote",NA,NA,4,3,3,11,NA,4,"11/23/2024 8:25","11/23/2024 8:33",8,2,1,"Smartphone","female",25,1,2,"multi/non-hisp","HS",5,1,"$50,000 to $59,999",2,6,"MN",2,4,0,1,2,"1",5,4,"#NULL!","#NULL!","#NULL!","1",3,"People no longer care about what is right and they just want control. We aren’t including God in our lives",6,6,6.75,6.58333333333333,0
2232,0.19586007,"ctrl",0,"Liberty","Pursu of happiness","Freedom","Small government","We the People ruling",4,"Small government",NA,NA,"Government that doesn't overreach.  It stays out of people's lives & decisions. Provides safe and secure boarders","ampride","antiest","trustgov","radchange","demsatis",2,3,4,3,5,4,5,5,"vote","trump",NA,7,5,5,12,NA,6,"11/27/2024 10:47","11/27/2024 17:56",5,2,1,"Smartphone","female",37,2,3,"other/non-hisp","bachelors",1,1,"$25,000 to $29,999",1,3,"CA",4,9,1,1,2,"1",4,4,"#NULL!","1","1","#NULL!",2,"Government that doesn't overreach.  It stays out of people's lives & decisions. Provides safe and secure boarders",5,4,3.5,4.16666666666667,0
2241,1.79301779,"brkn",1,"Freedom of action","Freedom of speech","Acceptance of all people","Same treatment protection to all","Honesty",2,"Freedom of speech",NA,"The government of the US is controlled by mainly self interested dishonest politicians who look out for their own personal gain, and do not serve all the people well. There should be less self interest and more compromise across the parties. Politicians do not listen to the populace of the US and act accordingly.  There is too much dissension in congress, too much blaming other people and not enough taking responsibility.",NA,"trustgov","ampride","demsatis","radchange","antiest",7,7,7,3,4,1,5,1,"vote","harris",NA,7,5,3,2,NA,3,"11/20/2024 14:02","11/20/2024 14:10",8,2,1,"Desktop","female",67,4,6,"white/non-hisp","masters",3,5,"$150,000 to $174,999",4,9,"OR",4,9,0,1,2,"1",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"The government of the US is controlled by mainly self interested dishonest politicians who look out for their own personal gain, and do not serve all the people well. There should be less self interest and more compromise across the parties. Politicians do not listen to the populace of the US and act accordingly.  There is too much dissension in congress, too much blaming other people and not enough taking responsibility.",5,7,6.5,4.83333333333333,0
2244,0.97305675,"ctrl",0,"Money","Inflation","Taxes","None","None",2,"Inflation",NA,NA,"Inflation means when rates are increase on everything gas, food, taxes and itcaise people to spend more money","radchange","demsatis","antiest","ampride","trustgov",5,6,5,6,3,5,6,5,"no vote",NA,NA,2,1,4,12,NA,2,"11/19/2024 19:50","11/19/2024 19:56",7,2,1,"Smartphone","male",37,2,3,"black/non-hisp","HS",1,2,"$35,000 to $39,999",2,4,"GA",3,5,1,1,2,"1",4,6,"#NULL!","2","2","5",3,"Inflation means when rates are increase on everything gas, food, taxes and itcaise people to spend more money",2,3,4.5,4.16666666666667,0
2246,0.33958389,"kept",1,"individual liberty","equality","justice for all","equal representation","fair elelctions",1,"individual liberty","The Bill of Rights enumerates the rights of citizens. These Amendments guarantee individual liberties. Our system of government is not perfect, and we often fail to live up to principles on which our country was founded. But we have the right, at least in principle, to live our lives without being molested by the government, as long as we abide by certain rules.",NA,NA,"radchange","trustgov","ampride","antiest","demsatis",5,6,5,2,4,2,6,3,"vote","trump",NA,5,4,4,12,NA,3,"11/19/2024 21:20","11/19/2024 21:44",24,2,1,"Desktop","male",78,4,7,"white/non-hisp","bachelors",1,1,"$60,000 to $74,999",3,6,"WI",2,3,0,1,2,"1",2,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The Bill of Rights enumerates the rights of citizens. These Amendments guarantee individual liberties. Our system of government is not perfect, and we often fail to live up to principles on which our country was founded. But we have the right, at least in principle, to live our lives without being molested by the government, as long as we abide by certain rules.",6,6,5.5,4.83333333333333,0
2252,2.63830658,"brkn",0,"FREEDOM","EQUALITY","LIBERTY","SEPARATION OF POWERS","CHECKS & BALANCES CONTROLLING THE GOVERNMENTS, BOTH FEDERAL & STATE",3,"LIBERTY",NA,"¡ THE CURRENT maga POLITICAL party of tRUMP IS LEANING TOWARDS CURTAILING THE RIGHTS OF THE CITIZENRY !",NA,"demsatis","trustgov","antiest","radchange","ampride",5,3,3,5,4,4,5,5,"vote","harris",NA,4,3,3,5,NA,3,"11/20/2024 20:46","11/20/2024 20:58",13,2,1,"Smartphone","male",73,4,6,"hisp","HS",2,1,"$50,000 to $59,999",2,6,"NM",4,8,1,0,1,"1",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"¡ THE CURRENT maga POLITICAL party of tRUMP IS LEANING TOWARDS CURTAILING THE RIGHTS OF THE CITIZENRY !",3,4,3.5,4.16666666666667,0
2257,0.20894705,"brkn",0,"Speach","Own fire arms","Freedom","Strong military","Border security",3,"Freedom",NA,"The lawmakers are not securing our borders, they are pushing for open borders which will be a huge problem and disaster. Lawmakers are trying to eliminate the right to own firearms.",NA,"radchange","demsatis","antiest","ampride","trustgov",5,7,7,1,5,1,1,6,"vote","trump",NA,7,5,5,1,NA,1,"11/19/2024 17:25","11/19/2024 17:40",15,2,1,"Desktop","male",72,4,6,"white/non-hisp","some coll",1,5,"$40,000 to $49,999",2,5,"KS",2,4,1,1,1,"1",2,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The lawmakers are not securing our borders, they are pushing for open borders which will be a huge problem and disaster. Lawmakers are trying to eliminate the right to own firearms.",7,7,6.5,6.5,0
2260,2.15857231,"brkn",1,"Freedom of speech","Freedom of religion","Right to carry and bear arms","Freedom of press","Pursuit of life and liberty",3,"Right to carry and bear arms",NA,"Fundamental to balance of people/mallitia with centralized authorities. One hundred word requirement silly. Only allows for errors and misrepresentation. Simple is best",NA,"ampride","radchange","antiest","demsatis","trustgov",3,5,6,3,4,2,5,5,"vote","trump",NA,7,5,4,2,NA,8,"11/19/2024 20:28","11/19/2024 20:36",8,2,1,"Smartphone","male",75,4,7,"white/non-hisp","masters",1,5,"$125,000 to $149,999",4,8,"TX",3,7,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"Fundamental to balance of people/mallitia with centralized authorities. One hundred word requirement silly. Only allows for errors and misrepresentation. Simple is best",5,6,4.75,5.25,0
2265,1.80998533,"ctrl",1,"Individualism","Diversity","Equalllity","Liberty","Democracy",4,"Liberty",NA,NA,"The core values is what I believe to be liberty.Liberty is the core values.","trustgov","antiest","radchange","ampride","demsatis",7,7,7,7,4,1,1,7,"no vote",NA,NA,4,3,3,11,NA,4,"11/20/2024 13:17","11/20/2024 13:24",7,2,1,"Smartphone","female",21,1,1,"hisp","HS",3,1,"$15,000 to $19,999",1,2,"FL",3,5,1,1,2,"1",4,6,"#NULL!","#NULL!","#NULL!","#NULL!",7,"The core values is what I believe to be liberty.Liberty is the core values.",1,7,5.5,6.5,0
2269,0.4460024,"kept",0,"Freedom of religion","The right to marry whomever you want","The freedom to live and work as you please","The right to vote","Treat others as you want to be treated",1,"Freedom of religion","People are free to worship at the institution that they choose. They are also able to choose not to practice religion.",NA,NA,"trustgov","radchange","antiest","demsatis","ampride",5,3,5,3,4,4,5,5,"vote","harris",NA,6,5,3,1,NA,3,"11/20/2024 6:09","11/20/2024 6:14",6,2,1,"Smartphone","female",59,3,5,"white/non-hisp","bachelors",2,2,"$85,000 to $99,999",3,7,"TX",3,7,1,1,1,"3",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"People are free to worship at the institution that they choose. They are also able to choose not to practice religion.",5,4,4.5,4.5,0
2271,0.90622464,"ctrl",0,"freedom","happiness","hard work","patriotism","military",1,"freedom",NA,NA,"Freedom is the right to say what you feel and do what you want. This is within reasonable limits, of course.","demsatis","radchange","antiest","ampride","trustgov",7,6,4,2,1,3,2,6,"vote","harris",NA,1,1,1,11,NA,1,"11/19/2024 18:07","11/19/2024 18:12",6,2,1,"Smartphone","female",25,1,2,"white/non-hisp","HS",5,4,"$85,000 to $99,999",3,7,"VA",3,5,1,1,1,"3",4,3,"#NULL!","#NULL!","#NULL!","#NULL!",3,"Freedom is the right to say what you feel and do what you want. This is within reasonable limits, of course.",6,5,5.75,5.58333333333333,0
2272,1.22757325,"brkn",1,"Freedom","Opportunity","Equality","Independence","Hard work",1,"Freedom",NA,"Freedom of speech is hurt by censorship and government intimidation. Freedom of actions are hurt by excessive government regulation and bureaucracy.",NA,"antiest","trustgov","demsatis","radchange","ampride",5,6,7,3,4,2,5,2,"vote","trump",NA,4,3,3,11,NA,1,"11/20/2024 11:51","11/20/2024 11:56",5,2,1,"Desktop","male",50,3,4,"white/non-hisp","masters",1,1,"$175,000 to $199,999",4,9,"MA",1,1,1,1,1,"2",4,4,"#NULL!","#NULL!","1","1",2,"Freedom of speech is hurt by censorship and government intimidation. Freedom of actions are hurt by excessive government regulation and bureaucracy.",5,6,5.75,4.58333333333333,0
2278,1.36544562,"ctrl",1,"freedom","equality","respect","valor","pride",1,"freedom",NA,NA,"Freedom is to have the right of speech and able to live your life as you please and not have goverment control the way you live","antiest","trustgov","radchange","ampride","demsatis",1,1,1,6,5,5,7,2,"vote","harris",NA,3,2,4,2,NA,5,"11/21/2024 21:45","11/21/2024 21:48",3,2,1,"Desktop","male",47,3,4,"hisp","HS",1,1,"$35,000 to $39,999",2,4,"CA",4,9,1,1,2,"3",4,5,"#NULL!","#NULL!","#NULL!","1",4,"Freedom is to have the right of speech and able to live your life as you please and not have goverment control the way you live",2,3,1.25,2.08333333333333,0
2283,3.75653068,"ctrl",0,"Democracy","Freedom","Technological advancement","Diversity","Economic success",2,"Freedom",NA,NA,"A benefit received from the consistent sacrifices and effort made by the bravest people in our society.","ampride","demsatis","radchange","antiest","trustgov",6,6,6,2,3,2,2,6,"no vote",NA,NA,4,3,3,1,NA,2,"12/2/2024 0:23","12/2/2024 0:27",3,2,1,"Smartphone","male",19,1,1,"hisp","less HS",5,1,"$60,000 to $74,999",3,6,"KY",3,6,1,1,1,"1",4,3,"#NULL!","#NULL!","#NULL!","#NULL!",3,"A benefit received from the consistent sacrifices and effort made by the bravest people in our society.",6,6,6,6,0
2288,0.57619214,"ctrl",1,"Democracy","Freedom","Justice","Liberty","Equal treatment",1,"Democracy",NA,NA,"Democracy is a type of government that is fair and equal for all. Every citizen's voice should be represented equally by way of their representatives in Congress. A democracy should also have free and fair elections.","radchange","antiest","trustgov","ampride","demsatis",5,5,5,5,3,3,6,2,"vote","harris",NA,1,1,2,1,NA,2,"11/19/2024 16:21","11/19/2024 16:28",7,2,1,"Desktop","female",66,4,6,"white/non-hisp","bachelors",1,2,"$85,000 to $99,999",3,7,"CO",4,8,1,1,1,"1",3,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"Democracy is a type of government that is fair and equal for all. Every citizen's voice should be represented equally by way of their representatives in Congress. A democracy should also have free and fair elections.",3,5,4.5,3.83333333333333,0
2295,1.71580177,"kept",1,"freedom","democracy","independence","guns","free speech",1,"freedom","We can travel where we want. We can say what we want for the most part. However, as of late our freedoms are being taken away, ie; abortion and books being banned.",NA,NA,"antiest","radchange","demsatis","trustgov","ampride",7,6,5,4,1,3,2,6,"vote","harris",NA,3,2,3,1,NA,1,"11/21/2024 17:56","11/21/2024 18:05",10,2,1,"Desktop","female",56,3,5,"white/non-hisp","bachelors",1,1,"$175,000 to $199,999",4,9,"MA",1,1,1,1,1,"2",4,6,"#NULL!","#NULL!","#NULL!","#NULL!",6,"We can travel where we want. We can say what we want for the most part. However, as of late our freedoms are being taken away, ie; abortion and books being banned.",4,5,5.5,5.5,0
2301,0.45163108,"brkn",1,"Freedom of Speech","Right to bear arms","Freedom for some","Diversity if you are white","Land of Opportunity",1,"Freedom of Speech",NA,"Mainstream media controls what we see and hear.  This in turn dirves the narrative that has led to the divide in our country because only left leaning views are free speech and ok.",NA,"antiest","ampride","trustgov","demsatis","radchange",5,7,3,1,4,1,4,6,NA,NA,NA,2,1,3,2,NA,4,"11/22/2024 7:19","11/22/2024 7:26",8,2,1,"Desktop","female",49,3,4,"black/non-hisp","masters",3,1,"$85,000 to $99,999",3,7,"MI",2,3,1,1,2,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"Mainstream media controls what we see and hear.  This in turn dirves the narrative that has led to the divide in our country because only left leaning views are free speech and ok.",7,7,5.5,6.16666666666667,0
2305,0.27352561,"brkn",1,"everyone is equal","due process of law","being ethical to one another","right to privacy","have a strong bond in family",3,"being ethical to one another",NA,"It is nice to say it.  if you talk to the Native Americans they were not treated this way or the Native Hawaiians.",NA,"antiest","trustgov","demsatis","ampride","radchange",7,6,6,2,5,2,1,7,"vote","trump",NA,7,5,3,1,NA,2,"11/21/2024 16:44","11/21/2024 16:54",10,2,1,"Desktop","male",55,3,5,"hisp","some coll",1,5,"$150,000 to $174,999",4,9,"CA",4,9,1,1,1,"1",4,3,"#NULL!","#NULL!","1","#NULL!",2,"It is nice to say it.  if you talk to the Native Americans they were not treated this way or the Native Hawaiians.",6,6,6.25,6.41666666666667,0
2311,0.81336984,"ctrl",1,"Freedom of Speech","Freedom to bear arms","Freedom of the press","Constitution","Our American Bill of Rights",5,"Our American Bill of Rights",NA,NA,"We are unique as American citizens in that we have explicit rights and freedoms..guaranteed by our Constitution, our Bill of Rights and our rights that come from God.","ampride","radchange","antiest","trustgov","demsatis",5,7,7,2,5,2,1,6,"vote","trump",NA,7,5,5,2,NA,4,"11/21/2024 10:25","11/21/2024 16:13",5,2,1,"Desktop","male",64,4,5,"white/non-hisp","masters",3,1,"$60,000 to $74,999",3,6,"OH",2,3,1,1,1,"1",4,1,"#NULL!","#NULL!","#NULL!","#NULL!",1,"We are unique as American citizens in that we have explicit rights and freedoms..guaranteed by our Constitution, our Bill of Rights and our rights that come from God.",6,6,6.25,6.08333333333333,0
